id,h,w,a,class
163,55.7393577,119.1700337,26.63833361,2
164,63.16527579,121.2555956,27.45800018,2
165,60.43941562,126.2994017,22.76215823,2
166,59.72315341,123.4035122,27.25533783,2
167,57.79871111,130.7413704,22.03411584,2
168,57.60181841,121.1100445,23.53577584,2
169,61.61400899,115.411551,33.12077232,2
170,59.86698227,119.9044321,32.3972239,2
171,63.6670304,113.3064409,22.09668948,2
172,58.82712485,117.7656856,37.45023988,2
173,60.28764773,124.4167592,26.48484154,2
174,62.13998965,118.8582661,22.41796133,2
175,58.84232125,122.3679433,21.67737698,2
176,65.55344933,126.5058157,22.92411186,2
177,65.97112791,114.767351,19.69139348,2
178,64.89902092,126.5680884,19.97965612,2
179,62.95267069,117.7243658,16.15770714,2
180,58.19948666,118.7695515,32.26014693,2
181,61.72305108,111.2818191,21.52335016,2
182,63.01323362,121.6748654,27.30705648,2
183,63.389006,132.4691186,27.03544406,2
184,57.52168947,116.218022,23.85671722,2
185,64.23971591,114.7219221,23.08889523,2
186,61.82167209,112.264266,25.91841901,2
187,65.54514078,123.8311511,30.5411424,2
188,62.63116221,112.0265876,23.80689458,2
189,63.20565781,117.7199142,33.70475793,2
190,64.74432614,119.8081643,30.48415083,2
191,63.731218,118.63205,24.92464348,2
192,59.73780713,118.8043491,18.66939459,2
193,64.73654588,115.9669234,35.86815818,2
194,59.9418575,118.9663069,26.79194227,2
195,61.86895463,120.1898958,24.59941956,2
196,66.35712856,122.4482713,32.51045658,2
197,70.05329108,125.0092031,26.50923404,2
198,61.59279769,130.117512,23.00909508,2
199,63.05689204,123.7460987,22.6726734,2
200,67.39063067,130.1150143,22.35417973,2
201,49.43758641,80.01531977,11.60043159,3
202,51.15479451,77.19981365,7.751828035,3
203,51.59072456,79.28260019,10.27741098,3
204,45.50715984,80.78151742,12.38936531,3
205,48.77417261,76.01766824,7.496582362,3
206,48.19695036,77.54444272,9.631743841,3
207,51.9503271,74.51170447,9.696056371,3
208,48.44764688,80.84712343,5.721206275,3
209,50.25969664,78.14926669,7.159793907,3
210,49.26879661,80.83150752,11.60688543,3
211,44.13159339,83.78407707,6.803872492,3
212,44.27077132,78.52586975,5.081870278,3
213,45.88730639,75.84291843,7.766161717,3
214,53.43689642,77.61485387,11.48832448,3
215,49.57949267,83.44271767,8.537557887,3
216,48.60508395,76.82947326,6.996936975,3
217,45.89025438,80.14175739,7.016636096,3
218,49.60608293,78.37390633,7.017152831,3
219,46.37446956,80.30996881,10.82447857,3
220,44.50159383,84.66486673,8.274711406,3
221,48.17218891,80.36879519,12.44672296,3
222,56.73289821,80.63526324,8.661963741,3
223,47.29554878,79.59768046,5.9126786,3
224,43.79384009,81.89849432,11.5203,3
225,44.94469942,76.57812668,9.940215138,3
226,45.23421803,81.78225336,11.72485783,3
227,40.71455665,83.77523116,4.537574701,3
228,49.20487881,76.38486318,7.841059708,3
229,42.9647515,77.47619384,6.961352166,3
230,42.72006506,84.61766649,7.874775045,3
231,51.5088593,81.94421941,8.294753915,3
232,51.38550843,78.6303436,6.772354839,3
233,48.93458881,78.029234,8.400371224,3
234,49.8488776,82.35021984,6.30438203,3
235,46.05236313,78.54306484,9.812892398,3
236,45.94671541,86.2591283,10.54998055,3
237,46.42012599,85.54394317,9.744698078,3
238,47.9624069,77.03568837,6.050126859,3
239,45.82606394,81.95764726,7.470350218,3
240,58.36131944,77.93879641,7.13102482,3
241,46.93781471,78.57095838,7.024354193,3
242,49.71566466,84.49317983,9.722323518,3
243,45.81016574,84.69469372,9.71471813,3
244,52.10001174,81.63585541,8.585129093,3
245,53.96417541,86.64227019,8.574674659,3
246,43.46285927,79.91197993,8.273860135,3
247,48.82628079,84.6617212,9.83853604,3
248,48.06095973,77.9625629,11.14886043,3
249,43.78170029,83.02403738,8.267260633,3
250,50.23156085,79.94295914,7.334209255,3
251,47.09190459,86.69335161,5.688684216,3
252,44.89486109,82.06393285,6.097992648,3
253,46.9333373,79.32718812,6.682646755,3
254,49.59804834,79.832424,6.80026741,3
255,48.49758533,80.76987768,7.162181074,3
256,47.04418298,84.27616031,8.586502408,3
257,53.73966689,78.6513708,6.309363735,3
258,50.01646681,80.70089855,7.075420488,3
259,47.64140503,77.0305906,7.571852049,3
260,43.41311381,79.25539082,5.967849252,3
261,51.98885081,75.4495301,6.256103342,3
262,48.61377399,80.77772462,14.77026177,3
263,47.60291209,82.64873688,8.710561271,3
264,52.98056239,79.27131973,3.742547298,3
265,49.44425405,83.0223001,5.620120153,3
266,51.85658455,85.69296621,6.51770594,3
267,48.08394615,74.12457452,6.832409089,3
268,48.21634744,76.42968541,4.923717063,3
269,45.83147684,80.91914834,3.377793024,3
270,47.81637513,82.01348865,6.668009451,3
271,49.53828832,84.71162673,7.811165674,3
272,50.86299097,78.60949224,8.95584106,3
273,49.00411198,81.87790251,6.712899528,3
274,49.3893298,78.72536937,4.602898624,3
275,48.1215508,86.38509878,8.868859731,3
276,54.5293832,80.76813367,8.454209955,3
277,48.75621212,81.20328119,5.90660415,3
278,52.41605878,81.45413754,5.607654297,3
279,44.72568566,80.43375397,6.930513162,3
280,52.8424793,79.25292308,9.012531258,3
281,47.66577941,78.16683713,7.280210883,3
282,51.82101131,78.02100724,4.822076646,3
283,50.88524887,79.60113077,8.070202582,3
284,50.59264315,79.62548617,7.159678127,3
285,46.92177371,83.63155639,5.874643102,3
286,49.47565075,82.67224064,8.369676954,3
287,45.88015247,80.42975622,7.658150533,3
288,46.55621725,81.13987729,8.813915894,3
289,48.252302,76.90082188,9.612130148,3
290,43.83285447,76.11687975,8.865533141,3
291,42.97165349,76.12073236,6.679423235,3
292,44.0015995,84.23560242,9.493767648,3
293,45.09220922,82.37430525,6.775573565,3
294,47.1582422,85.32277418,11.50143598,3
295,46.37995773,77.31855429,7.351919405,3
296,43.94926898,77.81509988,9.278151656,3
297,48.29916383,79.58648798,7.225783957,3
298,43.72135001,81.29846144,8.258227385,3
299,48.68617701,74.5448253,10.10260486,3
300,50.67040773,76.49963844,9.132789412,3
